Player ID,X Location,Y Location,Total_Seconds_Remaining,Shot_Type_Encoded,Shot_Distance_Meters,Shot_Zone_Combined,Shot Made Flag
201580,13,6,571,2,0.3048,1,0
1889,-96,145,237,2,5.1816,3,0
2203,0,0,196,2,0.0,1,1
951,164,199,7,3,7.62,5,0
2545,24,206,46,2,6.096,4,0
201587,234,22,290,3,7.010400000000001,6,0
201567,-156,216,678,3,7.9248,5,0
219,-36,57,80,2,1.8288000000000002,2,1
947,95,354,0,3,10.972800000000001,5,0
1938,-105,146,590,2,5.1816,3,0
2050,62,232,559,3,7.315200000000001,5,0
977,-4,4,201,2,0.0,1,1
2585,122,13,379,2,3.6576000000000004,4,0
960,154,204,540,3,7.62,5,1
275,171,10,287,2,5.1816,4,0
2547,64,174,162,2,5.486400000000001,4,1
201942,-119,17,277,2,3.6576000000000004,3,0
949,-134,74,422,2,4.572,3,0
754,-205,173,119,3,7.9248,5,1
202718,-8,19,9,2,0.6096,1,1
201567,-52,278,585,3,8.5344,5,1
201150,-7,17,384,2,0.3048,1,1
1749,-230,0,397,3,7.010400000000001,6,1
1712,172,-24,637,2,5.1816,4,0
56,28,35,362,2,1.2192,2,1
2561,-15,14,473,2,0.6096,1,1
202327,-58,21,23,2,1.8288000000000002,2,0
2419,-54,6,696,2,1.524,2,1
203076,3,7,268,2,0.0,1,1
1740,-64,271,2,3,8.2296,5,0
201584,-207,165,696,3,7.9248,5,1
203476,1,248,565,3,7.315200000000001,5,0
1733,0,0,228,2,0.0,1,1
202329,-109,61,634,2,3.6576000000000004,3,1
200745,46,240,604,3,7.315200000000001,5,0
696,1,244,502,3,7.315200000000001,5,1
1629056,-13,268,101,3,7.9248,5,1
965,179,15,244,2,5.1816,4,0
2405,-122,133,311,2,5.486400000000001,3,0
202325,-29,28,511,2,1.2192,2,1
203526,47,5,20,2,1.2192,2,0
1000,0,0,215,2,0.0,1,1
2590,0,7,550,2,0.0,1,1
201580,2,11,76,2,0.3048,1,1
2754,-166,40,695,2,5.1816,3,1
2561,-166,80,266,2,5.486400000000001,3,0
714,-148,153,285,2,6.4008,3,0
202698,146,-6,590,2,4.2672,4,0
203460,-5,7,593,2,0.0,1,1
203918,226,67,479,3,7.010400000000001,6,1
2548,143,137,281,2,5.7912,4,1
202330,31,-2,109,2,0.9144000000000001,1,0
1890,0,0,160,2,0.0,1,1
200745,-131,203,49,3,7.315200000000001,5,0
1521,-136,183,251,2,6.7056000000000004,3,0
201145,168,7,353,2,4.8768,4,1
1626184,-185,188,31,3,7.9248,5,0
2470,3,263,247,3,7.9248,5,0
202391,9,12,604,2,0.3048,1,1
2207,-237,-31,2,3,7.010400000000001,6,1
2753,0,0,85,2,0.0,1,0
2572,-27,175,187,2,5.1816,4,0
203086,151,190,355,3,7.315200000000001,5,0
2544,0,1,483,2,0.0,1,1
203944,-5,29,88,2,0.6096,1,0
951,128,53,99,2,3.9624,4,1
1897,0,0,212,2,0.0,1,0
200794,42,125,711,2,3.9624,2,1
202693,9,-2,667,2,0.0,1,0
203944,5,37,243,2,0.9144000000000001,1,1
56,-31,19,313,2,0.9144000000000001,1,1
101128,112,220,194,3,7.315200000000001,5,1
2209,-157,190,82,3,7.315200000000001,5,0
2229,-41,217,362,2,6.7056000000000004,4,1
202732,236,8,80,3,7.010400000000001,6,1
101112,102,235,241,3,7.62,5,0
699,0,0,702,2,0.0,1,0
111,-113,53,524,2,3.6576000000000004,3,1
2440,-116,228,159,3,7.62,5,0
406,106,36,702,2,3.3528000000000002,4,0
200745,0,215,328,2,6.4008,4,1
202738,-15,244,618,3,7.315200000000001,5,1
201152,152,12,577,2,4.572,4,1
2760,14,89,148,2,2.7432000000000003,2,0
1905,-157,63,568,2,4.8768,3,0
200771,0,0,635,2,0.0,1,1
708,0,0,19,2,0.0,1,1
203527,43,116,181,2,3.6576000000000004,2,0
2581,-55,254,492,3,7.62,5,0
101198,181,55,517,2,5.486400000000001,4,0
686,-119,141,550,2,5.486400000000001,3,1
923,-105,232,563,3,7.62,5,0
1716,108,83,499,2,3.9624,4,0
779,-171,59,158,2,5.486400000000001,3,0
1626167,-168,189,169,3,7.62,5,0
2420,-28,15,355,2,0.9144000000000001,1,0
101108,54,250,2,3,7.62,5,0
201569,21,3,404,2,0.6096,1,0
1628373,30,38,477,2,1.2192,2,0
1626156,233,7,401,3,7.010400000000001,6,1
1715,133,178,180,2,6.7056000000000004,4,1
201945,9,6,174,2,0.3048,1,0
200752,-25,101,103,2,3.048,2,1
1715,190,0,101,2,5.7912,4,1
782,0,0,568,2,0.0,1,0
201596,0,0,661,2,0.0,1,0
201942,33,99,635,2,3.048,2,1
201960,227,65,166,3,7.010400000000001,6,0
200769,28,192,241,2,5.7912,4,0
2215,-6,215,372,2,6.4008,4,0
951,0,0,544,2,0.0,1,1
202685,1,34,696,2,0.9144000000000001,1,0
255,-143,57,659,2,4.572,3,0
201951,0,9,0,2,0.0,1,1
201572,45,-6,184,2,1.2192,2,1
2209,0,0,109,2,0.0,1,1
1496,-67,30,423,2,2.1336,2,1
1889,-131,61,234,2,4.2672,3,0
363,0,0,384,2,0.0,1,1
200769,173,39,565,2,5.1816,4,0
101141,-184,178,463,3,7.62,5,0
201980,-168,85,575,2,5.486400000000001,3,0
2736,6,53,221,2,1.524,2,1
203315,-23,165,188,2,4.8768,4,1
2294,-223,143,258,3,7.9248,5,0
201584,-127,126,484,2,5.1816,3,1
2207,3,68,214,2,1.8288000000000002,2,0
1749,167,439,0,3,14.020800000000001,7,0
2216,-174,183,362,3,7.62,5,0
200745,206,544,0,3,17.6784,7,0
203107,-125,223,664,3,7.62,5,0
201939,43,4,577,2,1.2192,2,1
1713,167,125,143,2,6.096,4,0
2200,0,0,503,2,0.0,1,0
2240,156,199,491,3,7.62,5,1
203998,1,12,91,2,0.3048,1,1
1508,0,0,163,2,0.0,1,0
2042,-222,7,296,3,6.7056000000000004,6,1
2544,-18,58,218,2,1.8288000000000002,2,0
1717,0,0,256,2,0.0,1,0
2250,-8,247,32,3,7.315200000000001,5,1
201142,0,44,511,2,1.2192,2,0
201939,118,58,29,2,3.9624,4,1
782,-187,169,644,3,7.62,5,1
201604,-7,143,434,2,4.2672,4,0
977,107,161,226,2,5.7912,4,0
693,-152,55,676,2,4.8768,3,0
101127,-75,244,7,3,7.62,5,0
201600,15,7,677,2,0.3048,1,0
1628980,3,146,63,2,4.2672,4,0
200755,218,179,13,3,8.5344,5,0
2207,2,90,563,2,2.7432000000000003,2,0
202738,-189,149,302,3,7.315200000000001,5,0
2210,0,1,582,2,0.0,1,1
156,-74,100,55,2,3.6576000000000004,2,0
202330,-147,132,3,2,5.7912,3,1
201143,12,74,281,2,2.1336,2,1
1711,121,222,674,3,7.62,5,1
201980,-136,140,453,2,5.7912,3,0
2770,190,7,274,2,5.7912,4,0
1888,-230,12,162,3,7.010400000000001,6,0
696,0,0,577,2,0.0,1,0
2744,-13,0,155,2,0.3048,1,1
2078,67,166,43,2,5.1816,4,0
764,134,4,265,2,3.9624,4,1
1627755,100,117,19,2,4.572,4,1
891,-162,207,11,3,7.9248,5,0
1536,125,50,646,2,3.9624,4,0
739,0,0,10,2,0.0,1,1
1715,47,47,365,2,1.8288000000000002,2,1
2574,159,60,527,2,4.8768,4,1
1897,184,186,381,3,7.9248,5,0
213,11,85,684,2,2.4384,2,1
203991,0,1,290,2,0.0,1,1
203524,187,169,195,3,7.62,5,0
2225,73,155,222,2,5.1816,4,1
202714,225,33,351,3,6.7056000000000004,6,1
1899,-183,57,657,2,5.7912,3,0
1626153,-91,236,587,3,7.62,5,0
2742,97,224,34,3,7.315200000000001,5,0
101138,-143,18,422,2,4.2672,3,0
201949,-125,172,497,2,6.4008,3,0
1628991,-56,73,594,2,2.7432000000000003,2,1
203503,184,169,117,3,7.315200000000001,5,0
1921,0,0,160,2,0.0,1,1
2207,30,7,97,2,0.9144000000000001,1,0
252,20,61,473,2,1.8288000000000002,2,0
358,-109,-8,646,2,3.048,3,0
1541,-80,12,179,2,2.4384,2,1
469,51,179,86,2,5.486400000000001,4,0
2555,0,0,63,2,0.0,1,1
2067,154,194,634,3,7.315200000000001,5,0
948,0,0,379,2,0.0,1,1
1744,-117,9,341,2,3.3528000000000002,3,1
213,-10,5,707,2,0.3048,1,1
2544,18,211,233,2,6.4008,4,1
203504,82,251,213,3,7.9248,5,0
1503,-146,153,609,2,6.4008,3,1
1628392,-7,28,488,2,0.6096,1,0
202361,3,11,265,2,0.3048,1,1
977,-150,227,642,3,8.2296,5,1
22,-119,-23,466,2,3.6576000000000004,3,1
970,148,23,359,2,4.2672,4,0
977,165,194,101,3,7.62,5,1
299,167,-13,616,2,4.8768,4,0
1716,0,0,522,2,0.0,1,1
708,42,229,255,2,7.010400000000001,4,0
2547,-105,149,695,2,5.486400000000001,3,1
699,23,30,341,2,0.9144000000000001,1,1
201581,-67,148,118,2,4.8768,3,0
203490,1,2,300,2,0.0,1,0
202362,95,159,468,2,5.486400000000001,4,0
201935,122,95,161,2,4.572,4,1
1051,0,0,29,2,0.0,1,0
2561,0,0,368,2,0.0,1,1
2046,7,251,393,3,7.62,5,0
949,98,5,198,2,2.7432000000000003,4,0
1626169,236,1,341,3,7.010400000000001,6,0
353,128,174,405,2,6.4008,4,0
956,0,0,699,2,0.0,1,1
281,-164,18,506,2,4.8768,3,0
2030,0,0,336,2,0.0,1,1
2544,-235,64,324,3,7.315200000000001,6,1
1729,-158,-5,358,2,4.572,3,0
1884,0,0,389,2,0.0,1,1
124,-10,253,1,3,7.62,5,0
1627741,221,120,393,3,7.62,5,0
89,226,-8,531,3,6.7056000000000004,6,0
1740,0,0,302,2,0.0,1,1
203079,148,200,138,3,7.315200000000001,5,0
2419,0,0,479,2,0.0,1,0
1497,20,5,286,2,0.6096,1,0
200794,-6,18,389,2,0.3048,1,1
1626153,5,15,483,2,0.3048,1,0
2590,2,-2,489,2,0.0,1,0
1717,-24,2,226,2,0.6096,1,1
2436,181,186,649,3,7.62,5,0
1627747,213,125,292,3,7.315200000000001,5,1
203492,182,4,385,2,5.486400000000001,4,1
201143,1,-9,667,2,0.0,1,1
2240,16,91,43,2,2.7432000000000003,2,1
1536,97,173,275,2,5.7912,4,0
2754,131,163,256,2,6.096,4,0
1629027,-22,18,358,2,0.6096,1,0
101122,0,0,349,2,0.0,1,0
677,104,91,8,2,3.9624,4,0
201150,154,189,327,3,7.315200000000001,5,0
201158,120,220,40,3,7.62,5,0
2550,161,210,171,3,7.9248,5,1
2206,143,13,383,2,4.2672,4,0
200748,-73,56,555,2,2.7432000000000003,2,0
949,-126,33,240,2,3.9624,3,0
57,0,0,0,2,0.0,1,1
2546,155,116,616,2,5.7912,4,0
200816,179,171,502,3,7.315200000000001,5,0
1497,182,174,285,3,7.62,5,1
1723,0,0,10,2,0.0,1,1
201961,185,172,281,3,7.62,5,0
693,151,130,62,2,5.7912,4,0
200755,9,230,473,2,7.010400000000001,4,0
2399,-138,46,494,2,4.2672,3,1
2749,-61,156,508,2,4.8768,3,0
98,-1,3,129,2,0.0,1,1
1938,-195,176,16,3,7.9248,5,0
2679,-217,140,69,3,7.62,5,0
1719,0,0,683,2,0.0,1,0
2556,110,109,628,2,4.572,4,1
673,0,0,389,2,0.0,1,1
200768,0,0,457,2,0.0,1,0
201977,-56,172,279,2,5.486400000000001,3,0
203561,-57,107,15,2,3.6576000000000004,2,0
317,188,-11,258,2,5.486400000000001,4,0
111,-21,66,346,2,1.8288000000000002,2,0
1500,-197,55,374,2,6.096,3,1
2757,-3,3,704,2,0.0,1,1
1889,170,0,33,2,5.1816,4,1
202340,8,67,362,2,1.8288000000000002,2,1
202333,-18,4,509,2,0.3048,1,0
2592,112,192,445,2,6.7056000000000004,4,0
1536,84,233,425,3,7.315200000000001,5,0
958,42,44,36,2,1.8288000000000002,2,0
101130,23,15,368,2,0.6096,1,1
2555,166,-8,474,2,4.8768,4,1
101150,-95,227,9,3,7.315200000000001,5,0
2045,-166,184,458,3,7.315200000000001,5,0
2546,85,5,55,2,2.4384,4,0
948,0,0,408,2,0.0,1,0
2804,52,245,413,3,7.62,5,0
2772,0,0,213,2,0.0,1,1
384,171,114,51,2,6.096,4,0
203076,38,52,542,2,1.8288000000000002,2,0
1712,-156,117,3,2,5.7912,3,0
782,-189,7,643,2,5.486400000000001,3,1
693,0,0,391,2,0.0,1,1
1521,70,66,178,2,2.7432000000000003,2,1
1733,-223,116,364,3,7.62,5,0
203138,1,44,146,2,1.2192,2,0
1883,0,0,98,2,0.0,1,0
1894,-200,13,592,2,6.096,3,0
1626148,-96,254,12,3,8.2296,5,1
785,145,227,526,3,7.9248,5,0
467,235,82,366,3,7.315200000000001,6,1
101141,61,10,173,2,1.8288000000000002,2,0
935,-200,97,318,2,6.7056000000000004,3,1
201577,-93,14,585,2,2.7432000000000003,3,0
317,-12,200,377,2,6.096,4,0
201954,-23,179,3,2,5.486400000000001,4,0
2223,-159,-13,217,2,4.572,3,1
317,229,-27,313,3,7.010400000000001,6,0
200752,-122,208,659,3,7.315200000000001,5,0
1883,0,0,562,2,0.0,1,0
203498,13,0,590,2,0.3048,1,0
1517,-232,8,4,3,7.010400000000001,6,0
753,0,0,544,2,0.0,1,1
203085,114,224,239,3,7.62,5,0
2550,-108,167,491,2,5.7912,3,1
952,235,-15,657,3,7.010400000000001,6,1
201152,-9,67,462,2,1.8288000000000002,2,0
2744,-11,176,303,2,5.1816,4,1
2747,-102,223,322,3,7.315200000000001,5,1
201936,-226,56,444,3,7.010400000000001,6,0
363,113,85,188,2,4.2672,4,1
203076,80,14,123,2,2.4384,2,0
1725,67,141,316,2,4.572,4,0
1894,0,0,658,2,0.0,1,1
2207,111,189,591,2,6.4008,4,0
2420,0,0,183,2,0.0,1,1
201933,128,228,437,3,7.9248,5,1
1902,-12,0,275,2,0.3048,1,0
201150,91,2,489,2,2.7432000000000003,4,1
202693,157,0,437,2,4.572,4,0
2547,0,0,356,2,0.0,1,1
708,173,-11,463,2,5.1816,4,1
1712,178,47,166,2,5.486400000000001,4,1
200794,-127,0,385,2,3.6576000000000004,3,0
1717,-162,-12,332,2,4.8768,3,0
202702,26,11,27,2,0.6096,1,0
978,196,143,252,3,7.315200000000001,5,0
201150,127,56,532,2,3.9624,4,0
297,-168,9,272,2,4.8768,3,0
296,63,156,606,2,4.8768,4,1
185,0,0,556,2,0.0,1,0
1717,-136,110,687,2,5.1816,3,1
1509,118,148,274,2,5.486400000000001,4,0
1713,-57,246,42,3,7.62,5,0
101112,22,252,321,3,7.62,5,0
201144,-15,12,170,2,0.3048,1,0
201203,73,17,30,2,2.1336,2,0
2201,-2,51,689,2,1.524,2,1
200794,0,0,324,2,0.0,1,1
2548,-102,66,553,2,3.6576000000000004,3,1
201565,88,61,394,2,3.048,4,1
458,-238,-6,313,3,7.010400000000001,6,0
200765,0,0,549,2,0.0,1,1
2246,-107,212,74,3,7.010400000000001,3,1
201566,0,0,82,2,0.0,1,0
1627736,-167,172,602,3,7.010400000000001,5,0
101135,-163,112,367,2,5.7912,3,0
1626179,-119,231,445,3,7.62,5,0
2548,27,75,651,2,2.1336,2,1
1731,89,41,508,2,2.7432000000000003,4,0
22,-96,5,136,2,2.7432000000000003,3,0
1863,123,100,12,2,4.572,4,0
200746,12,1,231,2,0.3048,1,1
1628972,-8,53,120,2,1.524,2,1
714,162,5,221,2,4.8768,4,0
2804,236,-5,158,3,7.010400000000001,6,0
201580,4,15,714,2,0.3048,1,0
1628374,57,246,483,3,7.62,5,0
201933,-139,94,487,2,4.8768,3,1
200758,0,0,637,2,0.0,1,0
2544,-18,0,142,2,0.3048,1,0
84,239,-16,538,3,7.010400000000001,6,0
467,29,79,440,2,2.4384,2,1
1952,26,227,142,2,6.7056000000000004,4,0
201565,-78,134,702,2,4.572,2,1
1897,47,18,687,2,1.524,2,1
201142,154,113,302,2,5.7912,4,1
384,-131,104,41,2,4.8768,3,0
1508,90,33,329,2,2.7432000000000003,4,0
202714,0,25,514,2,0.6096,1,0
202696,51,91,252,2,3.048,2,0
2546,-177,54,655,2,5.486400000000001,3,1
166,102,236,610,3,7.62,5,0
2571,141,214,133,3,7.62,5,1
203471,33,61,89,2,1.8288000000000002,2,0
1908,0,0,471,2,0.0,1,1
203093,-16,23,263,2,0.6096,1,1
1917,-183,186,144,3,7.9248,5,0
201880,17,19,482,2,0.6096,1,0
1907,-67,106,142,2,3.6576000000000004,2,0
201156,67,129,660,2,4.2672,2,0
200745,-93,23,330,2,2.7432000000000003,3,1
201142,-5,58,453,2,1.524,2,0
1742,-184,189,25,3,7.9248,5,1
202326,18,20,437,2,0.6096,1,1
717,-25,46,64,2,1.524,2,0
2757,0,99,549,2,2.7432000000000003,2,0
911,0,0,176,2,0.0,1,0
361,-86,80,532,2,3.3528000000000002,3,0
203561,58,11,615,2,1.524,2,0
201567,19,4,698,2,0.3048,1,0
1626181,141,203,15,3,7.315200000000001,5,0
441,-162,40,557,2,4.8768,3,0
2749,237,44,16,3,7.315200000000001,6,0
15,-185,173,627,3,7.62,5,1
224,-240,41,106,3,7.315200000000001,6,0
2561,0,0,341,2,0.0,1,0
2617,2,165,527,2,4.8768,4,0
200752,-232,101,417,3,7.62,5,0
1716,100,54,452,2,3.3528000000000002,4,1
101150,-16,201,143,2,6.096,4,0
978,123,156,118,2,5.7912,4,0
201609,128,-6,680,2,3.6576000000000004,4,0
1495,0,0,2,2,0.0,1,0
1713,0,0,688,2,0.0,1,1
203145,-16,3,663,2,0.3048,1,0
1628415,21,90,592,2,2.7432000000000003,2,0
201952,5,11,479,2,0.3048,1,1
203952,6,242,153,3,7.315200000000001,5,1
699,-161,187,651,3,7.315200000000001,5,1
757,-223,79,98,3,7.010400000000001,6,0
201147,21,56,348,2,1.524,2,0
201939,10,11,521,2,0.3048,1,0
201567,-127,153,329,2,5.7912,3,1
202693,225,111,675,3,7.62,5,1
2581,189,151,593,3,7.315200000000001,5,0
2755,-49,47,398,2,1.8288000000000002,2,1
201202,-65,45,177,2,2.1336,2,0
2548,0,0,599,2,0.0,1,1
1712,-202,0,653,2,6.096,3,1
1538,111,145,149,2,5.486400000000001,4,0
101162,-4,-11,360,2,0.3048,1,1
202339,-49,248,340,3,7.62,5,0
200765,138,221,238,3,7.9248,5,1
1630,0,0,685,2,0.0,1,1
201943,42,252,285,3,7.62,5,1
990,47,169,312,2,5.1816,4,0
1891,-160,176,674,3,7.010400000000001,5,0
203081,-160,195,75,3,7.62,5,0
2590,118,219,380,3,7.315200000000001,5,0
1729,-176,0,325,2,5.1816,3,0
2210,0,0,334,2,0.0,1,1
1498,-82,63,445,2,3.048,3,1
2216,-10,13,157,2,0.3048,1,0
203918,226,14,408,3,6.7056000000000004,6,1
203110,71,239,364,3,7.315200000000001,5,0
1628398,102,242,381,3,7.9248,5,0
203914,9,15,265,2,0.3048,1,0
1607,18,222,44,2,6.7056000000000004,4,0
960,188,0,168,2,5.486400000000001,4,0
2730,0,0,503,2,0.0,1,1
1891,-161,210,294,3,7.9248,5,0
2744,151,69,27,2,4.8768,4,0
203490,87,117,613,2,4.2672,4,0
2742,-223,-8,171,3,6.7056000000000004,6,1
203468,-56,127,643,2,3.9624,2,0
682,0,0,211,2,0.0,1,1
202344,-16,38,514,2,1.2192,2,0
203501,119,233,658,3,7.9248,5,0
201572,0,-6,458,2,0.0,1,1
101162,-2,144,251,2,4.2672,4,1
1889,-25,7,337,2,0.6096,1,1
1504,149,27,674,2,4.572,4,0
200797,0,0,596,2,0.0,1,1
1626144,193,168,234,3,7.62,5,1
203999,22,125,126,2,3.6576000000000004,2,1
200770,-127,23,447,2,3.6576000000000004,3,1
133,0,0,531,2,0.0,1,1
1717,39,137,0,2,4.2672,2,1
201188,-103,58,547,2,3.3528000000000002,3,0
1495,-81,1,256,2,2.4384,3,1
201154,-8,12,107,2,0.3048,1,1
202702,-19,55,533,2,1.524,2,1
270,0,0,557,2,0.0,1,0
201569,86,192,358,2,6.4008,4,0
2412,-174,8,248,2,5.1816,3,0
201188,-54,12,20,2,1.524,2,1
203484,-160,101,708,2,5.486400000000001,3,0
201586,89,57,280,2,3.048,4,0
203110,-4,-2,154,2,0.0,1,1
1718,118,115,77,2,4.8768,4,0
2045,144,95,252,2,5.1816,4,1
757,-151,353,0,3,11.5824,5,0
2400,-136,86,391,2,4.8768,3,0
962,227,10,575,3,6.7056000000000004,6,0
2772,119,210,212,3,7.315200000000001,5,0
1628404,-217,122,545,3,7.315200000000001,5,0
45,-51,186,485,2,5.7912,4,0
2248,30,22,185,2,0.9144000000000001,1,1
202704,-239,12,270,3,7.010400000000001,6,1
1627775,19,7,220,2,0.6096,1,1
952,5,61,335,2,1.8288000000000002,2,0
1626164,46,21,122,2,1.524,2,0
2049,13,187,114,2,5.486400000000001,4,0
